"currentDate","currentTime","point0","point1","currentSpeed","freeFlowSpeed","currentTravelTime","freeFlowTravelTime","id"
"2022-10-08","15:30:36",18.9926,73.0957,57,57,295,295,3
"2022-10-08","15:30:36",18.9632,73.1425,35,35,240,240,4
"2022-10-08","15:30:36",18.9607,73.1655,46,47,172,169,5
"2022-10-08","15:30:36",18.9859,73.1198,23,23,214,214,6
"2022-10-08","15:30:36",18.9588,73.1594,49,49,50,50,7
"2022-10-08","15:30:36",18.9681,73.1316,55,71,175,136,8
"2022-10-08","15:30:36",18.9832,73.1008,25,30,452,377,9
"2022-10-08","15:30:36",19.0237,73.1059,26,40,515,335,10
"2022-10-08","15:30:36",19.0316,73.1053,26,40,515,335,11
"2022-10-08","15:30:36",18.9748,73.1242,32,44,787,573,12
"2022-10-08","15:30:36",19.0186,73.0283,48,48,648,648,13
"2022-10-08","15:30:36",18.9941,73.1148,32,44,787,573,14
"2022-10-08","15:30:36",19.0007,73.1299,78,78,455,455,15
"2022-10-08","15:30:36",19.0438,73.0273,53,53,1107,1107,16
"2022-10-08","15:30:36",19.0269,73.0939,53,53,1107,1107,17
"2022-10-08","15:30:36",18.9831,73.0809,28,28,1313,1313,18
"2022-10-08","15:30:36",18.9662,73.126,61,61,1722,1722,19
"2022-10-08","15:30:36",18.9645,73.131,55,55,1835,1835,20
"2022-10-08","15:30:36",19.0005,73.0337,48,48,648,648,21
"2022-10-08","15:30:36",18.9561,73.1617,48,52,997,920,22
"2022-10-08","15:45:36",18.9588,73.1594,49,49,50,50,23
"2022-10-08","15:45:36",18.9681,73.1316,71,71,136,136,24
"2022-10-08","15:45:36",18.9607,73.1655,47,47,169,169,25
"2022-10-08","15:45:36",19.0237,73.1059,41,41,327,327,26
"2022-10-08","15:45:36",18.9632,73.1425,35,35,240,240,27
"2022-10-08","15:45:36",19.0316,73.1053,41,41,327,327,28
"2022-10-08","15:45:36",18.9859,73.1198,16,23,308,214,29
"2022-10-08","15:45:36",18.9832,73.1008,26,30,435,377,30
"2022-10-08","15:45:36",18.9926,73.0957,57,57,295,295,31
"2022-10-08","15:45:36",19.0186,73.0283,48,48,648,648,32
"2022-10-08","15:45:36",18.9748,73.1242,32,44,787,573,33
"2022-10-08","15:45:36",18.9561,73.1617,53,53,903,903,34
"2022-10-08","15:45:36",19.0438,73.0273,53,53,1107,1107,35
"2022-10-08","15:45:36",18.9941,73.1148,32,44,787,573,36
"2022-10-08","15:45:36",18.9662,73.126,61,61,1722,1722,37
"2022-10-08","15:45:36",19.0005,73.0337,48,48,648,648,38
"2022-10-08","15:45:36",18.9645,73.131,55,55,1835,1835,39
"2022-10-08","15:45:36",19.0269,73.0939,53,53,1107,1107,40
"2022-10-08","15:45:36",18.9831,73.0809,28,28,1313,1313,41
"2022-10-08","15:45:36",19.0007,73.1299,78,78,455,455,42
"2022-10-08","16:00:36",18.9632,73.1425,35,35,240,240,43
"2022-10-08","16:00:36",18.9832,73.1008,25,29,452,390,44
"2022-10-08","16:00:36",18.9588,73.1594,49,49,50,50,45
"2022-10-08","16:00:36",18.9926,73.0957,57,57,295,295,46
"2022-10-08","16:00:36",19.0237,73.1059,28,40,478,335,47
"2022-10-08","16:00:36",19.0316,73.1053,28,40,478,335,48
"2022-10-08","16:00:36",18.9681,73.1316,71,71,136,136,49
"2022-10-08","16:00:36",18.9748,73.1242,37,44,681,573,50
"2022-10-08","16:00:36",19.0186,73.0283,48,48,648,648,51
"2022-10-08","16:00:36",18.9831,73.0809,28,28,1313,1313,52
"2022-10-08","16:00:36",19.0005,73.0337,48,48,648,648,53
"2022-10-08","16:00:36",19.0007,73.1299,78,78,455,455,54
"2022-10-08","16:00:36",18.9941,73.1148,37,44,681,573,55
"2022-10-08","16:00:36",18.9662,73.126,61,61,1722,1722,56
"2022-10-08","16:00:36",19.0269,73.0939,53,53,1107,1107,57
"2022-10-08","16:00:36",19.0438,73.0273,53,53,1107,1107,58
"2022-10-08","16:00:36",18.9645,73.131,55,55,1835,1835,59
"2022-10-08","16:00:36",18.9607,73.1655,47,47,169,169,60
"2022-10-08","16:00:36",18.9859,73.1198,23,23,214,214,61
"2022-10-08","16:00:36",18.9561,73.1617,53,53,903,903,62
"2022-10-08","16:15:36",18.9832,73.1008,26,30,435,377,63
"2022-10-08","16:15:36",18.9926,73.0957,57,57,295,295,64
"2022-10-08","16:15:36",18.9588,73.1594,49,49,50,50,65
"2022-10-08","16:15:36",19.0237,73.1059,28,40,478,335,66
"2022-10-08","16:15:36",18.9681,73.1316,71,71,136,136,67
"2022-10-08","16:15:36",18.9859,73.1198,23,23,214,214,68
"2022-10-08","16:15:36",18.9632,73.1425,31,36,272,234,69
"2022-10-08","16:15:36",18.9607,73.1655,44,47,180,169,70
"2022-10-08","16:15:36",19.0316,73.1053,28,40,478,335,71
"2022-10-08","16:15:36",18.9748,73.1242,35,44,720,573,72
"2022-10-08","16:15:36",19.0269,73.0939,53,53,1107,1107,73
"2022-10-08","16:15:36",18.9941,73.1148,35,44,720,573,74
"2022-10-08","16:15:36",19.0186,73.0283,48,48,648,648,75
"2022-10-08","16:15:36",18.9831,73.0809,28,28,1313,1313,76
"2022-10-08","16:15:36",19.0005,73.0337,48,48,648,648,77
"2022-10-08","16:15:36",19.0007,73.1299,78,78,455,455,78
"2022-10-08","16:15:36",18.9561,73.1617,53,53,903,903,79
"2022-10-08","16:15:36",18.9662,73.126,61,61,1722,1722,80
"2022-10-08","16:15:36",18.9645,73.131,47,55,2148,1835,81
"2022-10-08","16:15:36",19.0438,73.0273,53,53,1107,1107,82
"2022-10-08","16:30:36",19.0316,73.1053,29,39,462,343,83
"2022-10-08","16:30:36",18.9859,73.1198,23,23,214,214,84
"2022-10-08","16:30:36",18.9632,73.1425,27,35,312,240,85
"2022-10-08","16:30:36",18.9588,73.1594,49,49,50,50,86
"2022-10-08","16:30:36",18.9681,73.1316,71,71,136,136,87
"2022-10-08","16:30:36",19.0237,73.1059,29,39,462,343,88
"2022-10-08","16:30:36",18.9926,73.0957,57,57,295,295,89
"2022-10-08","16:30:36",18.9832,73.1008,25,30,452,377,90
"2022-10-08","16:30:36",18.9607,73.1655,47,47,169,169,91
"2022-10-08","16:30:36",19.0005,73.0337,48,48,648,648,92
"2022-10-08","16:30:36",18.9561,73.1617,48,52,997,920,93
"2022-10-08","16:30:36",19.0438,73.0273,53,53,1107,1107,94
