nodeID,latitude,longitude
1,19.01820173,73.1064476
2,18.989847,73.1158094
3,18.9793472,73.1161232
4,18.9685004,73.1317806
5,18.9846084,73.0907106
6,18.95776075,73.15502465
7,18.981489,73.0878071
8,18.968951,73.1143154
9,18.9032905,72.9893741
10,18.7513474,73.0944013
11,18.9677842,73.1593135
12,18.9537858,73.1705332
13,18.9667759,73.1374926
14,18.8971979,73.2520656
15,19.0689075,72.9931855
16,19.0972505,73.0719459
17,18.9595136,73.0376418
18,19.0329606,73.0297199
19,18.9654601,73.0586596
20,18.9501835,73.032036
